Epoch [113/150], Step [600/600], Loss: 0.0071
Epoch [114/150], Step [600/600], Loss: 0.0064
Epoch [115/150], Step [600/600], Loss: 0.0061
Epoch [116/150], Step [600/600], Loss: 0.0057
Epoch [117/150], Step [600/600], Loss: 0.0058
Epoch [118/150], Step [600/600], Loss: 0.0056
Epoch [119/150], Step [600/600], Loss: 0.0062
Epoch [120/150], Step [600/600], Loss: 0.0059
Accuracy of the network on the 10000 test images: 98.66 %
Epoch [121/150], Step [600/600], Loss: 0.0060
Epoch [122/150], Step [600/600], Loss: 0.0055
Epoch [123/150], Step [600/600], Loss: 0.0056
Epoch [124/150], Step [600/600], Loss: 0.0053
Epoch [125/150], Step [600/600], Loss: 0.0055
Epoch [126/150], Step [600/600], Loss: 0.0053
Epoch [127/150], Step [600/600], Loss: 0.0049
Epoch [128/150], Step [600/600], Loss: 0.0053
Epoch [129/150], Step [600/600], Loss: 0.0050
Epoch [130/150], Step [600/600], Loss: 0.0048
Accuracy of the network on the 10000 test images: 98.66 %
Epoch [131/150], Step [600/600], Loss: 0.0056
Epoch [132/150], Step [600/600], Loss: 0.0049
Epoch [133/150], Step [600/600], Loss: 0.0045
Epoch [134/150], Step [600/600], Loss: 0.0045
Epoch [135/150], Step [600/600], Loss: 0.0046
Epoch [136/150], Step [600/600], Loss: 0.0050
Epoch [137/150], Step [600/600], Loss: 0.0047
Epoch [138/150], Step [600/600], Loss: 0.0042
Epoch [139/150], Step [600/600], Loss: 0.0044
Epoch [140/150], Step [600/600], Loss: 0.0046
Accuracy of the network on the 10000 test images: 98.64 %
Epoch [141/150], Step [600/600], Loss: 0.0043
Epoch [142/150], Step [600/600], Loss: 0.0041
Epoch [143/150], Step [600/600], Loss: 0.0040
Epoch [144/150], Step [600/600], Loss: 0.0042
Epoch [145/150], Step [600/600], Loss: 0.0039
Epoch [146/150], Step [600/600], Loss: 0.0038
Epoch [147/150], Step [600/600], Loss: 0.0039
Epoch [148/150], Step [600/600], Loss: 0.0043
Epoch [149/150], Step [600/600], Loss: 0.0038
Epoch [150/150], Step [600/600], Loss: 0.0040
Accuracy of the network on the 10000 test images: 98.65 %
